username,password,devicetoken,device,customerid,store
000160,1234,HOUSTON-5:z4fnRfmA5xhCLdMyD0pDT3az8FRUgAM0pRSyXwis9hc+M475oa+3/FBRvcqpNoBekwOCSz+bZqUfnMSBzUg==:5637144592:5637144689,Houston-5,100001,Houston
000160,1234,HOUSTON-3:CKQHiEEOCJrsUC3nJbYpeAwOQTes5zt0bnyrU3SL+pBgD5Afdyfv3NXKStHs1ZYq6aJdZ0dR7MOQzFhU/qg==:5637144592:5637144627,Houston-3,100001,Houston
000160,1234,HOUSTON-4:KqN2xqFbjJ1odyN4Q7J4B4JuSej8rWo5p+uSCBwbUCq8a9IbMwJVlbaZoQfXcMjTrk5NYuOxeTSZbAaegsA==:5637144592:5637144688,Houston-4,100001,Houston
000160,1234,HOUSTON-2:Qpk2bsbOa8Cigi553m93xAXBwq+K0kQ8qVl8Qr07yPaJzUU7yM099kdjEGG252P8RjpxjsBWQmTaoMXHgww==:5637144592:5637144626,Houston-2,100001,Houston
000160,1234,HOUSTON-6:yqhIEhbutj+WdIL9lwAkoGsfmNjB8hW8NEoHhYTQDMmh+C5o+J1DNygMNpbHEVrdIAlvMrRiBdHgqmWnJcg==:5637144592:5637144690,Houston-6,100001,Houston
000160,1234,HOUSTON-7:fDyYViPggRB7Vzq++BKV5E8pSOtdK1TtBBDcK75SighzBAEkJ4HIluYgSuO/NuMztJgNMeax8FxLLtQsYrA==:5637144592:5637144691,Houston-7,100001,Houston
000160,1234,HOUSTON-8:VPgjGgIabnAE93CT5EIWHL0SqIU2723dHpMwQObXZ9QWth/OedwS8gxwz+MxzjQZ+AM1PDupcxZ01yQS9vw==:5637144592:5637144692,Houston-8,100001,Houston
000160,1234,HOUSTON-9:oA/T/EjQ6eHcJmUF7i9pt5ot8HWeco+TG7xxh57m8gbq0M0hCiz5NEWhhbI5rZuQ3N2qweCfM5U/C9e+zng==:5637144592:5637144693,Houston-9,100001,Houston
000160,1234,HOUSTON-10:w8XqR7DTQHBMU5smZ22orXHSBTZD6814jLZ1Nx9ZlfrWRr2S5SdjvgDjfdkS8B+sDjgdzW2tDT95Nm+bEBA==:5637144592:5637144694,Houston-10,100001,Houston
000160,1234,HOUSTON-11:CEF27hUmjL7G2rSCQxwU/R07fLJDlfjjgsnGA6u/5Eby/mXriTohCziVhEQkG0inVjZcbI+h91lXq74vGWA==:5637144592:5637144695,Houston-11,100001,Houston
000160,1234,HOUSTON-12:q40UF4xAmImZ3dX+0JWWE6GsKXRHI66ceQQXMhR8mLnoqcLA9Mf1Jnndc/ocLqHVf41WIqOBXy8f6GiuBSA==:5637144592:5637144696,Houston-12,100001,Houston
000160,1234,HOUSTON-13:JHAX2KD8i/JKKntnVj3BazL5EBpQoULUrEH7H3WWosHptUpjrSfbIxGunuIdPPwXPO4qRnOEuO/6HsidXog==:5637144592:5637144703,Houston-13,100001,Houston
000160,1234,HOUSTON-1:eU1Ck48ikMovKL5+2gtCf2VFJCbX3Ga+odmtfPbO/b6BVAs+tHrTkggCznwbHsMHMr1ChbvI2nZIvuJPghQ==:5637144592:5637144625,Houston-1,100001,Houston
